iter	Passed	Remaining
586	1382	972
587	1384	969
588	1386	967
589	1388	964
590	1390	962
591	1392	959
592	1394	957
593	1396	954
594	1398	951
595	1399	948
596	1402	946
597	1404	944
598	1406	941
599	1407	938
600	1409	935
601	1411	933
602	1413	930
603	1414	927
604	1416	924
605	1418	922
606	1420	919
607	1422	917
608	1424	914
609	1426	911
610	1428	909
611	1430	906
612	1432	904
613	1435	902
614	1437	900
615	1439	897
616	1441	894
617	1443	891
618	1444	889
619	1446	886
620	1448	884
621	1453	883
622	1455	880
623	1457	878
624	1459	875
625	1461	873
626	1464	870
627	1466	868
628	1468	866
629	1470	863
630	1472	861
631	1474	858
632	1476	856
633	1478	853
634	1480	850
635	1482	848
636	1484	845
637	1486	843
638	1489	841
639	1492	839
640	1496	838
641	1499	835
642	1502	833
643	1504	831
644	1506	829
645	1508	826
646	1511	824
647	1513	822
648	1515	819
649	1517	817
650	1519	814
651	1521	811
652	1523	809
653	1524	806
654	1527	804
655	1529	801
656	1531	799
657	1533	797
658	1535	794
659	1536	791
660	1538	789
661	1540	786
662	1542	784
663	1544	781
664	1546	778
665	1547	776
666	1549	773
667	1551	770
668	1552	768
669	1554	765
670	1556	763
671	1558	760
672	1560	758
673	1562	755
674	1564	753
675	1566	750
676	1568	748
677	1570	745
678	1573	743
679	1575	741
680	1577	738
681	1579	736
682	1581	733
683	1583	731
684	1585	728
685	1587	726
686	1589	724
687	1591	721
688	1593	719
689	1595	716
690	1597	714
691	1598	711
692	1600	709
693	1603	706
694	1605	704
695	1607	702
696	1609	699
697	1611	697
698	1613	694
699	1615	692
700	1618	690
701	1620	687
702	1622	685
703	1624	682
704	1625	680
705	1627	677
706	1629	675
707	1631	673
708	1634	670
709	1636	668
710	1638	665
711	1640	663
712	1642	661
713	1644	658
714	1646	656
715	1649	654
716	1651	651
717	1653	649
718	1655	647
719	1657	644
720	1659	642
721	1661	639
722	1663	637
723	1665	634
724	1667	632
725	1669	630
726	1671	627
727	1673	625
728	1674	622
729	1676	620
730	1678	617
731	1680	615
732	1682	612
733	1684	610
734	1687	608
735	1689	606
736	1692	603
737	1694	601
738	1696	599
739	1698	596
740	1700	594
741	1702	591
742	1704	589
743	1706	587
744	1708	584
745	1710	582
746	1713	580
747	1715	577
748	1716	575
749	1718	572
750	1721	570
751	1723	568
752	1726	566
753	1727	563
754	1729	561
755	1731	559
756	1734	556
757	1736	554
758	1738	551
759	1740	549
760	1743	547
761	1744	545
762	1746	542
763	1748	540
764	1750	537
765	1752	535
766	1754	532
767	1756	530
768	1758	528
769	1760	525
770	1762	523
771	1764	521
772	1766	518
773	1767	516
774	1770	513
775	1772	511
776	1774	509
777	1776	506
778	1778	504
779	1780	502
780	1782	499
781	1784	497
782	1786	495
783	1788	492
784	1790	490
785	1791	487
786	1793	485
787	1795	483
788	1797	480
789	1799	478
790	1801	476
791	1803	473
792	1805	471
793	1807	468
794	1809	466
795	1811	464
796	1812	461
797	1815	459
798	1817	457
799	1819	454
800	1821	452
801	1822	450
802	1824	447
803	1827	445
804	1829	443
805	1831	440
806	1833	438
807	1835	436
808	1837	433
809	1839	431
810	1841	429
811	1843	426
812	1845	424
813	1848	422
814	1850	420
815	1852	417
816	1854	415
817	1856	413
818	1858	410
819	1860	408
820	1863	406
821	1865	403
822	1867	401
823	1868	399
824	1870	396
825	1872	394
826	1874	392
827	1876	389
828	1878	387
829	1880	385
830	1882	382
831	1884	380
832	1885	378
833	1887	375
834	1889	373
835	1892	371
836	1894	368
837	1896	366
838	1898	364
839	1900	361
840	1902	359
841	1904	357
842	1906	355
843	1908	352
844	1910	350
845	1912	348
846	1914	345
847	1916	343
848	1918	341
849	1920	338
850	1922	336
851	1924	334
852	1925	331
853	1927	329
854	1929	327
855	1931	324
856	1933	322
857	1935	320
858	1937	318
859	1939	315
860	1941	313
861	1943	311
862	1945	308
863	1947	306
864	1949	304
865	1951	301
866	1953	299
867	1955	297
868	1957	295
869	1959	292
870	1961	290
871	1963	288
872	1965	285
873	1967	283
874	1969	281
875	1972	279
876	1973	276
877	1975	274
878	1977	272
879	1979	269
880	1981	267
881	1982	265
882	1985	263
883	1987	260
884	1989	258
885	1991	256
886	1992	253
887	1994	251
888	1996	249
889	1998	247
890	2000	244
891	2002	242
892	2004	240
893	2006	237
894	2008	235
895	2010	233
896	2012	231
897	2014	228
898	2015	226
899	2017	224
900	2019	221
901	2021	219
902	2022	217
903	2024	215
904	2026	212
905	2028	210
906	2030	208
907	2032	205
908	2034	203
909	2036	201
910	2038	199
911	2039	196
912	2041	194
913	2043	192
914	2045	189
915	2047	187
916	2048	185
917	2050	183
918	2052	180
919	2054	178
920	2055	176
921	2057	174
922	2059	171
923	2061	169
924	2063	167
925	2065	165
926	2067	162
927	2069	160
928	2071	158
929	2073	156
930	2075	153
931	2077	151
932	2079	149
933	2081	147
934	2083	144
935	2086	142
936	2087	140
937	2089	138
938	2092	135
939	2093	133
940	2095	131
941	2097	129
942	2099	126
943	2101	124
944	2103	122
945	2104	120
946	2106	117
947	2108	115
948	2111	113
949	2112	111
950	2114	108
951	2116	106
952	2118	104
953	2120	102
954	2123	100
955	2125	97
956	2126	95
957	2128	93
958	2130	91
959	2132	88
960	2134	86
961	2136	84
962	2138	82
963	2140	79
964	2142	77
965	2144	75
966	2146	73
967	2148	71
968	2150	68
969	2153	66
970	2155	64
971	2157	62
972	2159	59
973	2160	57
974	2162	55
975	2164	53
976	2166	51
977	2168	48
978	2170	46
979	2172	44
980	2174	42
981	2176	39
982	2178	37
983	2180	35
984	2182	33
985	2184	31
986	2186	28
987	2188	26
988	2190	24
989	2192	22
990	2194	19
991	2196	17
992	2198	15
993	2200	13
994	2202	11
995	2204	8
996	2206	6
997	2208	4
998	2210	2
999	2212	0
